,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0.0,1.0,1.0,1.0,3.0,1.16,1.0,3.0,2.0,2.0,1.38,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,2.13,2.0,2.0,4.0,3.0,5.0,3.0,2.82,3.0,3.0,1.0,3.0,4.0,4.0,3.74,4.0,4.0,4.0,4.0,4.0,3.87,5.0,5.0,5.0,4.79,4.63,5.0,4.0,4.95,5.0,5.0,5.0,6.0,6.06,5.97,4.0,5.82,6.0,5.5,5.97,5.71,5.5,6.4,7.0,7.0,6.29,8.0,7.0,7.0,7.11,7.0,7.0,7.67,8.0,7.34,8.0,8.0,10.0,8.0,8.0,7.25,7.65,7.97,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.92,9.4,9.42,9.41,10.0,8.9,9.42,10.0,10.0,10.0
1,1.0,1.0,1.0,2.0,1.22,1.0,1.3,1.43,1.22,1.38,1.42,2.04,2.0,2.0,2.0,2.0,2.21,2.06,2.0,2.14,4.0,3.0,3.0,3.0,2.97,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.58,3.64,3.76,4.0,3.74,2.0,3.85,4.0,5.0,4.0,7.0,4.58,4.0,5.0,4.9,6.0,5.0,4.0,6.0,6.0,6.0,7.0,6.0,5.77,6.0,5.91,6.0,5.57,7.0,6.67,7.04,6.47,7.0,7.0,6.84,9.0,7.0,8.0,8.0,8.0,8.0,7.38,7.85,7.54,8.0,8.0,7.0,7.59,7.0,9.0,9.0,8.0,8.34,7.82,10.0,10.0,9.0,8.0,10.0,9.48,10.0,9.0,8.74,9.05,9.32,10.0,10.0,10.0
2,2.0,0.99,1.37,2.0,1.32,1.17,1.18,1.0,1.0,1.0,2.0,2.0,1.88,2.0,3.0,1.9,2.0,2.0,2.0,2.16,4.0,2.82,3.0,2.81,3.0,3.0,2.92,5.0,2.77,2.61,2.87,3.0,5.0,3.65,4.0,5.0,3.56,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.47,5.0,4.63,3.0,5.0,4.87,3.0,6.0,6.06,6.0,5.0,6.0,5.73,6.0,6.0,5.0,5.5,7.0,6.62,7.0,7.0,6.99,7.0,6.81,9.0,6.56,9.0,8.0,9.0,7.23,7.28,7.81,8.0,8.0,8.0,9.0,7.52,7.96,9.0,7.0,7.0,10.0,7.0,8.31,8.31,9.0,8.28,10.0,9.38,10.0,10.0,9.0,8.0,9.19,10.0,9.08,9.26
3,3.0,0.99,1.0,1.32,1.0,1.0,1.12,1.0,1.0,1.42,1.0,2.0,1.87,2.0,4.0,1.76,2.1,2.0,2.13,2.17,2.37,1.0,3.0,2.0,3.0,2.79,1.0,1.0,3.0,2.57,2.85,4.0,4.11,2.0,6.0,4.0,3.51,3.71,3.24,3.78,4.0,5.0,5.0,4.76,4.0,5.0,4.58,4.88,3.0,5.0,5.0,4.0,6.0,5.96,5.52,6.0,6.0,5.42,8.0,6.0,4.0,6.0,7.0,9.0,7.0,6.99,7.0,8.0,7.0,7.0,7.0,8.0,10.0,7.09,8.0,7.78,7.47,7.83,8.0,9.0,7.44,7.0,9.0,8.64,9.0,8.22,10.0,10.0,9.0,8.46,8.16,8.72,10.0,8.0,9.3,8.0,8.87,10.0,10.0,9.26,10.0
4,4.0,0.99,1.25,1.35,1.0,1.0,1.0,1.0,1.0,1.45,1.31,4.0,1.96,3.0,2.0,1.0,2.03,2.07,2.0,3.0,2.4,3.0,2.94,2.73,2.96,3.0,2.8,5.0,2.74,3.0,2.83,4.0,4.06,3.61,3.71,4.0,3.44,2.0,3.0,3.75,4.0,4.54,5.0,5.0,4.4,5.0,4.47,4.82,5.0,4.8,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.9,6.0,8.0,7.0,6.56,7.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,8.05,7.1,6.0,7.72,7.69,8.0,8.0,8.0,8.0,7.79,8.78,8.57,9.0,8.4,8.0,9.0,8.0,8.36,8.01,8.5,9.27,10.0,9.35,10.0,8.67,10.0,10.0,8.0,9.47
5,5.0,1.0,1.28,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.34,1.0,1.96,2.06,2.0,1.0,2.0,2.0,2.0,2.0,2.3,3.0,2.93,3.0,2.0,3.0,2.71,3.0,1.0,2.45,3.0,3.38,6.0,4.0,3.62,3.97,4.0,4.0,3.14,3.84,4.0,5.0,4.75,5.0,5.0,4.31,4.4,5.0,4.7,4.0,5.0,6.0,7.0,6.0,5.41,5.8,6.0,5.34,6.03,5.0,6.0,7.0,6.49,7.0,9.0,7.0,7.0,6.93,7.0,6.0,6.72,7.61,8.0,7.0,9.0,8.0,7.61,7.8,7.81,7.44,8.0,9.0,8.74,8.49,9.0,9.0,7.0,8.19,8.18,9.0,9.0,10.0,9.0,9.32,10.0,8.0,10.0,9.22,9.95,9.12,10.0
6,6.0,0.99,2.0,2.0,1.27,1.0,1.13,1.0,1.0,1.35,1.37,3.0,2.0,2.0,2.29,1.73,2.0,2.0,3.0,2.18,2.0,3.0,2.92,2.69,3.0,4.0,3.0,2.86,3.0,3.0,2.81,4.0,4.19,4.0,3.81,3.0,2.0,3.67,4.0,4.0,4.12,3.0,4.0,5.0,5.0,3.0,4.32,5.0,4.0,4.7,7.0,6.0,6.06,6.0,6.0,5.0,6.0,5.24,6.0,5.63,6.0,5.0,6.41,7.04,7.0,7.0,6.0,7.0,7.11,5.0,6.67,8.0,8.0,6.96,7.16,7.0,7.71,8.0,7.94,7.33,8.0,9.0,9.0,9.0,8.46,7.96,9.0,9.0,8.21,8.42,8.17,8.23,9.13,9.37,9.0,10.0,8.43,10.0,9.94,10.0,10.0
7,7.0,0.99,1.3,1.0,1.29,1.11,1.06,1.0,1.0,1.3,1.0,2.0,1.95,2.0,2.0,2.0,4.0,2.0,2.07,2.0,2.0,4.0,3.0,2.65,2.96,1.0,2.67,5.0,3.0,3.0,3.0,2.0,4.0,3.56,3.0,3.87,3.31,4.0,3.0,4.0,4.0,3.0,4.71,5.0,5.0,4.22,4.36,4.8,4.59,6.0,4.73,6.0,6.06,5.96,6.0,5.79,7.0,7.0,6.03,5.58,5.57,6.0,6.32,7.0,6.0,7.0,6.0,6.77,9.0,7.0,7.0,7.55,8.03,6.0,9.0,7.67,7.64,7.0,7.93,7.22,7.35,8.0,9.0,9.0,8.37,9.0,7.62,8.05,8.4,9.0,9.0,8.0,10.0,9.26,10.0,8.86,9.0,9.43,9.93,10.0,10.0
8,8.0,0.99,3.0,1.38,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.84,2.0,2.0,2.0,3.0,2.0,5.0,3.13,3.0,2.96,2.98,2.66,2.84,3.0,3.0,2.0,3.3,4.0,4.0,4.0,3.62,4.0,3.63,4.0,3.84,6.0,4.48,4.67,5.0,5.0,4.0,5.0,6.0,5.0,4.68,4.94,6.0,6.0,6.0,5.0,5.73,6.0,6.0,6.0,6.0,5.51,6.3,6.5,9.0,7.0,7.0,8.0,7.0,7.08,7.0,6.62,7.47,9.0,6.79,7.14,7.6,9.0,7.75,9.0,6.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.33,9.0,8.64,9.0,8.27,10.0,10.0,9.23,8.83,9.0,9.32,9.91,9.0,10.0
9,9.0,0.99,1.0,1.25,1.13,1.18,2.0,1.37,1.0,1.29,2.0,1.97,1.94,2.0,2.28,1.82,2.09,3.0,3.0,2.17,4.0,3.0,1.0,2.63,3.0,2.65,2.61,2.0,3.0,2.66,3.0,4.0,3.0,3.59,3.59,6.0,5.0,3.61,3.26,3.0,4.17,5.0,5.0,3.0,4.43,4.38,4.27,4.74,4.53,4.66,4.82,6.0,6.07,5.95,7.0,6.0,7.0,6.0,6.0,5.6,5.0,9.0,6.47,7.0,6.58,6.96,6.39,7.0,9.0,9.0,6.56,7.42,9.0,6.7,6.98,10.0,7.0,9.0,7.0,9.0,7.3,10.0,8.87,8.4,9.0,10.0,7.38,8.21,8.0,8.58,7.0,8.0,9.08,9.0,9.38,8.0,10.0,9.3,10.0,8.62,10.0
