,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0.0,1.45,1.0,1.19,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.07,6.0,2.17,2.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,2.99,3.0,3.12,4.0,3.66,4.0,4.0,4.09,4.0,4.0,4.0,4.18,4.0,10.0,5.0,5.0,5.0,5.0,5.0,4.98,5.0,5.0,10.0,6.0,5.43,6.0,6.0,6.0,6.0,6.0,6.0,5.97,6.0,6.38,7.0,7.0,7.0,6.97,7.0,7.0,1.0,7.0,7.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,7.42,8.0,8.0,4.0,7.27,8.96,7.38,9.0,7.56,9.0,9.0,9.0,9.0,8.42,10.0,10.0,8.42,10.0,10.0,10.0,10.0,10.0,10.0
1,1.0,1.34,1.0,1.0,1.0,1.0,1.45,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.05,3.0,3.0,3.12,3.0,3.13,3.0,3.0,3.0,3.06,4.0,3.61,4.0,4.0,4.0,4.0,4.0,3.98,4.0,3.77,5.0,4.98,5.0,4.98,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.34,6.0,6.0,5.97,6.0,6.0,3.0,5.97,2.0,7.0,6.97,7.0,7.0,6.96,7.0,7.0,7.0,6.96,7.0,8.0,7.53,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.58,9.0,9.0,9.0,9.0,9.0,9.0,8.38,9.0,10.0,10.0,10.0,10.0,9.95,8.97,9.95,10.0,4.0,9.95
2,2.0,10.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.99,2.0,2.0,2.0,2.0,3.0,7.0,3.13,2.99,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,4.0,4.1,4.09,3.0,4.0,4.19,3.95,5.0,4.97,5.0,5.0,5.0,4.98,5.0,9.0,5.0,5.0,1.0,1.0,6.0,6.0,5.97,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.97,6.95,2.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.96,8.0,7.6,9.0,9.0,7.87,9.0,2.0,9.0,9.0,9.0,8.96,10.0,10.0,10.0,10.0,10.0,10.0,9.94,10.0,10.0,10.0
3,3.0,1.43,1.08,1.0,1.0,1.0,1.49,1.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.16,3.0,3.0,3.0,3.13,3.0,3.14,3.23,3.0,2.99,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,1.0,6.0,6.0,5.97,6.0,4.74,5.96,6.0,7.0,6.96,7.0,7.0,7.0,7.0,4.0,5.91,7.0,6.99,8.0,7.45,8.0,6.14,2.0,8.0,8.0,8.0,8.0,8.0,9.0,2.0,9.0,7.67,8.96,9.0,9.0,9.0,9.0,8.96,10.0,10.0,9.95,10.0,10.0,8.79,10.0,10.0,10.0,10.0
4,4.0,1.4,1.0,1.0,1.0,1.21,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.99,2.0,2.0,2.0,2.0,2.0,3.0,3.13,2.99,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.04,4.0,4.0,4.0,4.0,4.0,7.0,4.0,5.0,5.0,5.1,4.97,5.0,4.97,5.0,5.0,5.0,4.59,6.0,5.25,6.0,6.0,5.97,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.97,7.0,7.0,7.0,8.0,8.0,8.0,5.85,8.0,8.0,8.0,8.0,8.0,8.0,7.37,5.64,9.0,8.27,9.0,5.0,9.0,9.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,8.57,10.0,9.95,8.32,10.0
5,5.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.16,2.0,2.0,6.0,2.17,3.06,3.0,3.13,3.0,3.0,3.15,3.0,3.0,3.0,3.0,4.09,4.0,4.0,7.0,4.1,4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,6.97,7.0,7.0,7.0,7.0,7.0,6.96,10.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,7.96,7.96,9.0,9.0,8.96,9.0,9.0,9.0,9.0,8.96,9.0,9.0,10.0,10.0,9.94,8.14,10.0,10.0,9.93,9.94,10.0,10.0
6,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.99,1.99,2.0,2.0,2.0,2.17,2.18,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.04,4.0,4.0,4.2,3.0,4.0,4.0,4.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,4.98,5.0,5.0,6.0,6.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.97,2.0,7.0,6.95,6.99,8.0,8.0,8.0,5.52,8.0,8.0,7.96,8.0,7.95,7.95,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.95,8.42,8.13,10.0,8.54,10.0,10.0,10.0,9.93,10.0,10.0
7,7.0,7.0,1.09,1.0,1.19,1.0,1.0,1.0,1.43,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.99,2.0,2.0,2.0,10.0,3.28,3.0,3.0,3.0,3.02,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,4.96,5.0,5.0,4.98,5.0,5.0,5.0,4.98,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.4,6.0,6.0,7.0,6.95,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.95,9.0,9.0,9.0,8.27,9.0,4.0,10.0,9.93,4.0,10.0,9.3,10.0,9.92,10.0,10.0
8,8.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.99,2.0,2.0,2.0,2.0,2.07,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.16,3.0,3.0,3.0,3.0,4.0,4.0,4.0,10.0,4.0,4.0,4.0,4.0,9.0,4.0,5.0,5.0,5.11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.38,7.0,7.0,6.97,7.0,7.0,7.0,7.0,6.94,7.0,3.0,7.36,8.0,5.0,8.0,8.0,8.0,8.0,8.0,7.95,9.0,9.0,9.0,9.0,9.0,9.0,8.13,9.0,8.14,9.0,5.0,10.0,10.0,10.0,9.45,10.0,9.93,10.0,8.03,10.0
9,9.0,1.28,1.0,1.0,1.2,1.0,1.49,1.0,1.25,1.0,5.0,2.0,1.99,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,7.0,3.13,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.15,4.1,7.0,4.0,3.98,4.0,4.15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,6.0,6.0,5.48,6.0,6.0,6.0,6.0,6.0,6.0,2.0,7.0,7.0,7.0,6.96,7.0,7.0,7.0,6.94,7.0,6.62,8.0,7.53,8.0,8.0,4.0,7.96,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.94,10.0,3.0,10.0,5.0,9.35,10.0,10.0,10.0,10.0,9.13
10,10.0,1.0,1.0,1.0,1.01,1.01,6.0,1.14,1.0,1.0,1.21,2.0,2.0,2.0,1.99,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.67,8.0,4.0,4.0,4.0,8.0,5.0,5.0,5.12,5.0,4.98,5.0,2.0,5.0,5.0,4.99,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.28,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.11,8.0,8.0,5.91,7.26,8.0,8.0,8.0,8.0,8.0,8.01,2.0,9.0,9.0,9.0,9.0,9.0,9.0,8.12,9.0,10.0,2.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0
