,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1,1,1,1,1,1,1,1,5,1,2,2,2,2,2,2,2,6,2,2,3,3,3,3,3,3,9,3,3,7,4,4,4,4,4,4,4,4,4,4,10,5,5,5,5,5,5,5,5,10,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,7,7,8,8,8,1,8,8,8,2,8,8,4,9,9,6,9,9,9,9,9,9,10,10,10,2,10,10,10,10,10,10
1,1,1,1,1,1,9,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,2,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,3,6,2,7,4,7,7,7,7,7,7,7,7,8,8,8,3,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,2,10,10,10,4,10
2,10,1,1,1,5,1,1,7,1,1,2,2,2,2,2,2,2,2,2,2,3,7,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,4,5,8,5,5,5,8,5,9,5,5,1,1,6,6,6,6,6,6,6,6,7,7,7,7,7,2,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,2,9,9,9,9,10,10,10,10,10,10,10,10,10,10
3,1,1,1,1,1,1,1,1,6,1,2,2,2,2,2,2,2,2,2,10,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,1,6,6,6,6,6,9,6,7,7,7,7,7,7,4,7,7,7,8,8,8,8,2,8,8,8,8,8,9,2,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,7,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,5,9,9,5,9,10,10,10,10,10,3,10,10,10,10
5,1,1,1,1,1,6,1,1,1,1,2,2,2,2,2,2,2,2,6,2,3,3,3,3,3,3,3,3,3,3,4,4,4,7,4,4,1,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,9,7,7,7,7,7,7,7,7,7,10,8,8,5,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
6,1,1,4,1,1,1,1,5,1,1,2,2,2,2,5,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,10,6,6,6,6,6,6,6,7,7,7,7,7,1,2,7,7,7,8,8,8,8,8,8,8,8,8,8,9,1,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
7,7,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,10,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,4,4,4,5,5,5,5,5,5,5,5,2,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,4,10,5,4,10,10,10,10,10,10
8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,10,4,4,4,4,9,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,3,8,8,5,8,8,8,8,8,8,9,9,9,9,9,9,1,9,9,9,5,10,10,10,10,10,10,10,10,10
9,1,1,1,1,1,7,1,1,1,5,2,2,2,2,2,2,2,2,2,2,3,8,7,3,3,3,3,3,3,3,4,4,4,4,4,7,4,4,4,4,5,5,5,5,5,5,5,5,5,9,6,6,6,6,6,6,6,6,6,6,2,7,7,7,7,7,7,7,7,7,8,8,8,8,8,4,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,3,10,5,10,10,10,10,10,10
