,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,0.0,50.46,1.0,1.0,1.0,1.0,1.46,1.0,1.0,1.29,1.0,1.0,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.03,1.13,1.89,2.0,1.95,2.08,2.0,2.36,4.0,2.0,2.03,2.0,2.0,2.0,2.0,2.0,2.33,2.0,2.0,2.14,2.0,2.01,3.0,3.0,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.01,3.0,3.0,3.0,1.0,3.0,3.0,3.17,3.0,3.0,4.0,4.0,4.0,4.0,4.52,4.0,4.0,4.03,4.73,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.3,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,5.28,6.0,5.85,5.86,6.0,5.69,6.0,5.95,6.0,6.0,6.0,6.0,6.0,5.96,6.12,6.0,6.0,6.0,5.84,6.0,6.0,7.0,7.07,7.09,7.0,7.0,6.99,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.12,7.0,7.0,7.0,7.0,7.02,8.0,8.02,7.91,8.0,8.11,7.81,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.08,10.0,8.0,8.0,8.03,7.0,9.0,9.0,10.0,9.0,8.91,9.0,9.0,8.94,8.64,9.0,9.0,9.0,9.0,9.0,9.0,8.94,9.0,9.0,10.0,9.0,8.95,10.0,10.0,10.0,10.0,10.0,9.95,8.0,10.0,10.0,9.95,9.86,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,1.0,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.29,1.0,1.03,1.64,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.83,2.0,2.0,2.0,2.0,2.0,2.0,2.01,3.0,3.0,3.23,3.0,3.0,3.0,2.0,3.0,3.0,3.05,3.01,3.09,3.0,3.0,3.0,3.09,3.0,3.17,2.0,3.0,3.07,4.0,4.0,3.96,4.52,4.0,4.0,4.0,4.0,4.0,4.0,3.88,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.99,5.0,5.0,5.0,5.0,5.0,5.0,4.91,5.0,5.0,5.0,5.0,4.98,3.87,7.0,5.28,5.0,5.0,5.0,5.0,5.0,6.0,5.86,6.0,5.69,5.0,6.0,6.0,6.0,5.73,5.0,5.78,6.0,6.0,6.0,6.0,6.0,6.05,6.0,6.0,7.0,7.07,7.0,7.0,6.99,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.25,7.0,7.07,6.82,7.0,6.99,7.0,8.0,8.0,8.0,8.0,7.91,8.0,7.85,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.94,9.0,9.0,9.0,9.0,9.0,9.0,8.64,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.84,9.0,8.78,10.0,10.0,10.0,9.23,9.95,10.0,10.0,9.0,9.94,10.0,9.54,9.94,10.0,10.0,9.9,10.0,10.0,10.0,9.84,10.0,10.0
2,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.13,1.0,1.0,1.02,1.13,1.07,1.0,1.65,1.27,1.0,1.03,1.64,2.0,2.0,2.0,2.0,2.0,2.21,2.0,2.0,2.0,2.0,2.0,2.0,2.08,2.0,2.12,2.0,2.0,2.0,2.04,2.0,3.0,3.0,5.0,3.0,3.0,3.24,3.05,3.0,3.0,3.0,3.0,3.0,2.97,2.98,3.0,3.01,3.19,3.0,3.0,4.0,4.0,4.0,4.02,4.52,4.0,4.0,4.03,4.74,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,5.02,5.0,5.0,5.0,5.0,5.01,5.0,5.0,5.0,5.0,5.12,5.0,5.0,5.0,7.0,5.02,5.87,5.84,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.05,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.09,7.0,7.0,6.0,7.0,7.0,7.0,7.39,7.0,7.0,7.0,7.0,6.93,7.0,6.82,7.0,7.0,7.0,8.0,7.96,8.0,8.0,8.0,8.0,8.0,7.87,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.11,8.08,8.0,8.03,7.96,7.98,9.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0,8.98,9.0,9.0,9.0,9.08,9.0,8.86,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.95,9.84,10.0,10.0
3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.21,1.0,1.0,1.0,1.07,1.38,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.11,2.0,2.0,2.23,2.0,3.25,2.0,2.0,2.0,1.87,2.08,2.0,2.0,1.93,2.0,2.0,2.0,2.0,3.0,3.35,3.0,2.0,3.0,3.24,3.0,3.06,1.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,2.92,3.16,4.0,3.93,4.0,4.05,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.88,4.0,4.0,3.91,4.0,4.0,4.0,4.14,4.0,5.0,5.02,5.0,5.0,5.0,5.0,4.93,5.0,5.0,5.0,5.01,5.0,5.0,5.0,5.0,5.0,5.0,4.79,5.0,5.27,6.0,6.0,5.84,6.0,6.0,5.89,6.0,6.0,6.0,5.73,7.0,5.78,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.01,7.05,7.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,7.0,7.0,7.24,5.0,5.0,6.83,7.0,7.01,8.0,7.09,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.97,8.0,7.92,8.0,8.0,8.0,8.04,8.0,8.08,8.0,8.0,7.96,9.0,9.0,9.02,9.0,8.91,9.0,7.98,9.0,7.0,9.0,9.0,9.0,8.99,9.0,9.0,9.0,9.0,7.0,8.77,9.0,10.0,10.0,9.54,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.59,10.0,10.0,10.0,10.0,10.0
4,4.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.16,1.21,1.0,1.0,1.0,1.0,1.39,1.0,1.29,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.23,2.0,2.76,2.0,2.0,2.0,1.87,2.0,2.13,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.06,3.0,3.0,3.02,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.99,4.0,4.74,4.0,4.0,4.0,4.08,4.0,3.9,4.0,4.0,3.89,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,5.19,5.0,5.0,5.0,5.0,5.0,7.0,5.13,5.0,4.79,5.0,5.02,6.0,6.0,5.84,4.0,6.0,5.89,6.0,6.0,5.61,5.75,6.0,5.81,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.98,7.0,7.0,7.0,7.0,7.0,5.0,6.94,7.05,7.0,7.65,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.11,8.0,7.95,7.97,8.0,8.0,8.0,7.93,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.99,9.0,9.0,8.64,9.0,9.0,8.92,9.0,9.0,9.0,9.0,9.0,9.0,8.77,8.82,10.0,9.97,9.54,10.0,10.0,10.0,9.96,10.0,10.0,10.0,10.0,10.0,10.0,9.96,10.0,10.0,10.0,10.0,10.0,10.0
5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.27,1.0,1.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,1.99,1.0,2.0,2.0,2.0,2.0,2.0,2.03,2.0,2.0,2.0,1.84,2.08,2.0,2.12,1.93,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.06,3.0,3.0,3.0,3.0,3.0,3.0,3.09,1.0,3.17,3.0,3.16,4.0,4.0,4.0,3.99,4.0,4.12,4.0,6.0,4.77,4.0,4.0,3.88,4.08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.18,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.79,5.89,5.9,6.0,6.0,6.0,6.0,5.65,6.0,6.07,6.0,6.0,6.0,5.93,6.02,6.0,7.0,7.05,7.0,7.13,7.0,7.0,7.0,7.0,7.0,7.31,6.95,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.03,7.91,8.0,8.0,7.86,8.0,7.97,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.09,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,8.99,9.03,8.79,9.0,9.0,9.0,8.91,9.0,9.0,8.83,9.0,8.86,9.02,9.0,9.0,8.92,9.92,10.0,10.0,10.0,10.0,9.96,10.0,10.0,10.0,9.95,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0
6,6.0,1.0,1.0,1.0,1.0,1.0,1.16,1.09,1.0,1.0,1.0,1.21,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.03,1.43,2.0,2.0,2.0,2.0,2.36,2.09,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.23,3.0,3.0,3.0,3.24,3.0,3.06,3.07,4.0,3.0,3.0,2.97,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.98,4.0,4.0,4.0,4.12,5.0,4.0,4.0,4.0,4.0,4.0,4.08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.09,5.0,5.0,5.0,5.0,5.19,5.0,5.0,5.0,5.0,4.08,4.97,5.0,5.01,4.81,5.0,5.01,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.71,6.0,6.0,5.66,6.0,6.0,6.01,6.0,7.0,6.0,6.01,6.0,7.0,7.05,7.0,9.0,8.0,6.99,7.0,7.0,7.0,7.32,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.86,8.0,8.0,8.05,8.0,8.0,8.0,8.0,8.04,8.11,8.09,8.0,8.0,8.0,9.0,8.94,9.0,8.96,9.0,9.0,9.03,9.0,8.63,9.0,9.0,9.0,9.0,9.0,8.83,8.94,9.0,9.0,8.77,9.0,10.0,10.0,10.0,10.0,10.0,9.97,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.82,10.0,10.0
7,7.0,54.93,1.0,1.0,1.0,1.0,1.42,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,2.0,1.97,2.0,2.0,2.36,2.08,2.0,2.82,1.76,2.0,2.0,2.0,2.0,2.0,3.0,1.93,2.0,2.0,2.1,3.0,2.98,2.0,3.0,3.0,4.0,3.22,3.0,3.06,3.0,3.0,3.0,3.0,2.97,2.89,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.11,3.98,4.0,4.77,4.0,4.37,3.88,4.08,2.0,3.9,4.0,4.0,3.89,4.0,4.0,5.0,5.0,5.03,5.0,5.17,5.03,4.94,4.9,5.0,5.0,3.0,5.0,4.99,4.09,5.0,5.0,5.0,4.81,5.0,5.0,5.02,5.8,5.83,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.05,7.0,7.14,7.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,7.0,7.0,7.0,7.0,7.63,9.0,7.0,8.0,8.0,8.03,8.0,8.0,8.09,8.0,8.0,7.97,8.0,7.91,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.94,9.0,9.0,8.79,8.63,9.0,9.0,8.91,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.97,10.0,9.94,10.0,10.0,9.94,10.0,10.0,10.0,9.59,9.92,10.0,10.0,9.0,10.0
8,8.0,1.0,1.0,1.03,1.0,1.0,1.0,1.09,1.0,1.0,1.0,1.0,1.0,1.0,1.13,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.36,2.09,2.0,2.0,2.0,2.21,2.0,2.0,4.0,2.13,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.28,5.0,3.0,2.95,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.89,3.0,3.0,3.17,3.0,3.0,3.07,3.95,4.0,4.0,4.0,4.11,4.01,4.03,4.0,2.0,4.0,4.0,4.0,4.01,3.9,3.99,4.0,4.0,4.08,4.0,4.0,5.0,5.0,5.09,5.17,5.0,4.94,4.9,5.0,5.01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.27,5.0,5.83,5.84,4.0,6.0,5.86,6.0,6.0,5.71,5.76,6.0,5.79,6.0,6.0,6.0,5.98,6.0,5.93,6.0,6.0,7.0,7.05,7.08,7.0,6.99,7.0,7.0,7.0,7.0,7.0,6.99,7.0,6.92,7.25,6.96,7.05,7.0,7.63,7.0,7.0,8.0,9.0,8.0,8.0,8.0,8.09,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.09,9.0,8.03,7.0,7.98,8.91,9.0,8.0,9.0,8.99,9.0,8.79,9.0,9.0,9.0,7.0,9.0,9.0,7.0,9.0,9.0,9.0,8.77,9.0,8.96,10.0,10.0,9.92,10.0,9.97,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
9,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.08,1.0,1.13,1.05,1.0,1.0,1.26,1.0,1.03,2.0,1.84,2.0,2.11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.12,2.0,2.0,2.0,2.03,3.0,2.96,3.22,2.97,3.0,3.0,3.0,3.05,3.0,3.0,3.0,3.08,3.0,3.0,2.0,3.0,3.03,2.0,2.85,3.0,3.07,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.9,4.0,4.0,4.0,4.0,4.0,5.0,4.98,6.0,3.0,7.0,5.0,4.94,5.0,5.0,5.0,5.0,5.01,5.0,4.09,4.97,5.11,5.0,4.82,5.0,5.0,6.0,7.0,5.82,6.17,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.08,6.03,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.1,7.0,7.0,7.0,7.0,7.0,7.27,7.0,7.0,7.0,7.25,7.0,7.0,9.0,7.0,7.0,9.0,8.0,7.96,8.03,7.91,8.0,8.0,8.0,7.74,7.92,8.0,8.0,8.0,7.92,8.0,8.0,8.0,8.0,8.0,8.03,8.0,7.98,9.0,9.0,9.0,9.0,9.0,9.03,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.94,9.54,10.0,10.0,9.97,9.91,10.0,10.0,10.0,9.94,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
