,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,7.0,2.0,4.0,5.0,8.0,1.27,6.0,9.0,8.0,9.0,8.0,2.05,1.91,7.0,8.0,9.0,8.0,7.0
1,1.0,3.0,3.0,1.0,3.0,0.69,5.0,4.0,1.0,6.0,1.0,2.0,2.0,1.22,3.0,4.0,6.0,5.0,6.0,5.0,7.0,5.0,6.0,9.0,10.0,1.93,1.86,9.0,10.0,8.0
2,2.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,5.0,2.0,6.0,3.0,2.0,7.0,7.0,5.0,9.0,8.0,8.0,10.0,6.0,8.0,10.0,9.0,6.0,10.0,9.0,7.0
3,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,6.0,2.0,6.0,5.0,7.0,6.0,3.0,1.43,8.0,9.0,1.38,9.0,9.0,8.0,9.0,10.0,6.0,10.0,8.0,9.0
4,4.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,1.15,4.0,6.0,4.0,7.0,6.0,5.0,5.0,8.0,1.31,8.0,6.0,5.0,7.0,8.0,7.0,6.0,10.0,10.0,9.0
5,5.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,1.28,7.0,4.0,7.0,8.0,5.0,1.02,5.0,5.0,8.0,10.0,9.0,9.0,2.16,8.0,7.0,10.0
6,6.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,6.0,1.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,9.0,7.0,9.0,10.0,8.0,7.0,10.0,10.0,8.0,1.37,8.0
7,7.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,1.0,0.91,4.0,6.0,6.0,1.36,6.0,4.0,7.0,7.0,9.0,8.0,0.88,6.0,8.0,10.0,8.0,6.0,8.0,9.0,9.0,7.0
8,8.0,3.0,2.0,4.0,0.53,3.0,0.74,3.0,0.71,5.0,5.0,4.0,5.0,1.48,7.0,5.0,7.0,7.0,8.0,9.0,6.0,5.0,1.73,8.0,8.0,10.0,9.0,9.0,8.0,8.0
9,9.0,2.0,1.0,3.0,2.0,0.76,3.0,2.0,0.65,3.0,6.0,1.0,5.0,7.0,5.0,4.0,4.0,5.0,1.36,9.0,9.0,7.0,6.0,5.0,6.0,6.0,9.0,7.0,9.0,9.0
10,10.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,6.0,3.0,1.0,6.0,3.0,2.0,7.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,6.0,10.0,10.0,7.0,1.49
11,11.0,2.0,2.0,1.0,3.0,0.69,0.59,1.0,4.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0,8.0,3.0,1.4,4.0,4.0,10.0,5.0,10.0,9.0,7.0,9.0,10.0,9.0,8.0
12,12.0,0.53,1.0,4.0,4.0,4.0,2.0,0.55,5.0,6.0,6.0,1.0,6.0,7.0,1.23,5.0,3.0,1.27,5.0,6.0,6.0,10.0,9.0,6.0,6.0,10.0,9.0,9.0,10.0,10.0
13,13.0,1.0,1.0,2.0,1.0,1.0,0.62,2.0,4.0,0.6,2.0,2.0,5.0,2.0,7.0,4.0,3.0,3.0,9.0,6.0,6.0,9.0,8.0,9.0,8.0,7.0,6.0,10.0,8.0,1.88
14,14.0,1.0,1.0,0.74,3.0,1.0,1.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,8.0,6.0,8.0,9.0,6.0,1.05,8.0,10.0,10.0,1.67,8.0,9.0,7.0,0.98,7.0
15,15.0,1.0,1.0,0.64,4.0,4.0,4.0,0.64,5.0,3.0,0.85,3.0,5.0,5.0,7.0,8.0,8.0,3.0,6.0,6.0,4.0,6.0,9.0,9.0,7.0,2.21,10.0,9.0,9.0,1.94
16,16.0,1.0,1.0,1.0,0.42,1.0,3.0,5.0,2.0,4.0,3.0,5.0,2.0,2.0,7.0,3.0,8.0,8.0,7.0,8.0,5.0,6.0,5.0,6.0,6.0,7.0,9.0,8.0,10.0,9.0
17,17.0,2.0,1.0,4.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,6.0,5.0,6.0,7.0,8.0,7.0,1.38,5.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,9.0
18,18.0,1.0,1.0,2.0,1.0,0.67,2.0,4.0,1.0,4.0,1.0,4.0,2.0,7.0,5.0,8.0,6.0,4.0,4.0,5.0,9.0,10.0,6.0,6.0,7.0,1.79,6.0,9.0,7.0,9.0
19,19.0,2.0,2.0,1.0,0.44,0.56,3.0,0.65,5.0,6.0,5.0,6.0,0.86,7.0,5.0,0.86,4.0,3.0,8.0,6.0,7.0,8.0,7.0,6.0,1.79,6.0,10.0,7.0,1.57,10.0
20,20.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,7.0,5.0,6.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,1.97,2.22,9.0,9.0,10.0,9.0,8.0
21,21.0,2.0,2.0,1.0,3.0,1.0,0.71,0.69,1.0,1.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,7.0,10.0,8.0,7.0,8.0,10.0,1.45,9.0,8.0,9.0
22,22.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,0.5,4.0,3.0,6.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,1.03,4.0,5.0,8.0,9.0,6.0,1.79,7.0,10.0,8.0,8.0
