,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0.0,8.0,1.0,1.0,1.3,1.43,1.75,1.0,6.0,1.0,1.0,2.0,2.5,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,8.0,3.0,3.38,3.92,3.28,3.53,3.0,3.0,4.0,4.0,4.0,4.21,4.0,9.0,4.0,4.27,4.0,4.58,5.33,5.0,5.64,5.0,5.0,5.0,10.0,5.08,5.68,5.0,6.0,6.0,6.16,6.0,6.39,6.0,6.0,6.0,6.0,6.3,7.37,7.48,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.42,9.0,9.61,9.0,9.0,9.0,9.0,9.0,9.0,6.0,10.0,10.0,10.0,9.87,10.0,10.0,10.0,10.0,9.09
1,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.87,2.11,2.0,2.0,2.0,2.85,2.0,9.0,2.0,4.15,2.34,3.0,10.0,3.0,3.0,3.0,3.0,3.12,3.0,3.45,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.3,4.0,4.0,7.0,5.0,5.24,5.0,5.63,5.79,5.0,5.09,5.68,6.26,6.42,6.62,6.0,6.44,6.42,6.0,6.0,6.33,6.0,6.0,7.0,7.37,7.0,7.06,7.34,7.0,7.48,7.49,7.0,7.49,8.45,8.0,8.0,8.12,8.0,8.0,8.52,8.0,8.0,3.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,2.0,10.0,10.0,10.0,10.0,9.99,10.0,10.0,9.99
2,2.0,1.0,1.0,1.0,2.83,1.0,1.0,1.0,1.76,4.0,1.0,2.1,2.0,2.0,2.14,9.0,10.0,2.0,2.0,2.0,2.14,3.0,3.0,3.35,3.0,3.0,3.0,3.22,3.0,6.0,3.65,4.0,4.59,4.0,4.0,4.0,4.0,4.31,4.0,4.65,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.64,5.0,5.0,5.0,5.85,6.0,6.0,6.0,6.0,6.0,5.87,6.0,6.0,6.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,8.29,8.0,8.0,8.0,7.93,8.0,8.0,8.0,8.5,9.0,9.0,9.0,9.52,9.0,9.0,9.0,9.62,9.0,9.0,2.0,9.95,9.9,10.0,9.9,10.0,6.0,10.0,10.0,9.1
3,3.0,1.0,2.21,1.0,1.52,1.0,1.0,1.0,1.0,1.0,1.12,2.04,2.13,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.2,3.21,3.53,4.61,4.68,4.0,4.75,4.0,4.0,4.0,8.0,4.0,4.0,5.0,9.0,5.0,5.0,5.0,5.7,5.0,5.0,5.0,5.0,6.0,6.0,6.17,6.0,6.09,6.0,6.0,6.3,6.0,6.0,3.0,6.87,7.0,7.01,7.0,7.0,7.66,7.0,1.0,7.51,8.0,8.0,8.0,5.0,8.0,8.0,8.0,2.0,8.0,8.46,9.0,9.0,8.72,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.69,10.0,10.0,10.0,10.0,10.0,10.0,9.27,10.0,9.11
4,4.0,1.0,1.0,2.52,1.0,1.22,1.0,2.01,1.0,1.16,1.0,2.0,2.0,2.37,2.0,2.0,2.0,2.16,2.0,2.0,2.0,3.0,3.0,3.86,3.0,3.0,3.0,3.0,3.28,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.14,5.38,5.0,5.0,5.0,5.32,5.0,5.7,5.96,6.1,6.0,6.0,2.0,6.39,6.0,1.0,6.11,6.0,6.0,7.35,7.0,7.0,7.0,7.37,7.0,7.0,7.48,7.0,7.49,8.0,8.0,7.85,7.74,8.0,8.0,8.0,7.27,8.0,2.0,9.4,9.0,9.0,9.17,9.0,9.0,2.0,9.0,9.59,8.56,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0
5,5.0,1.0,1.0,2.6,2.09,1.0,1.81,1.73,1.0,1.14,1.0,2.0,2.04,2.0,2.13,2.39,2.0,2.0,2.17,2.0,2.0,5.0,3.0,3.79,3.0,3.0,3.83,3.0,3.0,9.0,3.0,4.0,4.6,4.0,4.31,4.28,4.0,4.28,4.0,4.28,4.59,5.18,5.0,5.0,5.56,5.0,5.78,5.0,1.0,5.0,10.0,6.08,10.0,6.0,6.0,6.0,6.0,1.0,6.0,6.39,6.01,1.0,7.0,7.0,7.0,7.0,7.0,7.56,7.5,7.0,7.0,8.0,8.0,8.0,8.0,7.94,7.28,2.0,8.0,6.44,8.0,9.31,9.6,5.0,9.0,9.0,6.0,9.0,9.63,9.0,9.0,10.0,9.96,10.0,10.0,10.0,6.0,10.0,10.0,10.0,9.1
6,6.0,1.0,2.21,1.0,1.93,1.0,6.0,1.0,1.0,1.0,1.16,2.04,2.0,2.0,2.0,2.13,2.0,2.0,2.0,2.0,2.0,3.55,3.24,3.66,3.0,3.0,3.57,3.25,3.0,3.21,3.53,5.12,4.0,4.36,4.72,4.32,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.6,5.0,5.0,5.0,5.0,5.0,5.73,5.0,6.08,5.8,6.18,6.4,6.0,6.0,6.11,6.08,6.0,6.0,7.0,6.84,7.0,7.01,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.8,8.0,8.0,8.0,8.0,8.0,6.49,8.0,9.32,9.0,9.0,9.0,9.0,9.0,6.0,9.6,9.0,9.0,10.0,10.0,9.86,10.0,10.0,10.0,10.0,9.99,1.0,9.1
7,7.0,2.22,1.19,1.72,9.0,1.0,1.0,1.0,1.87,1.0,1.0,2.11,2.0,2.46,2.0,2.0,2.0,2.0,2.17,2.0,2.14,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.51,3.0,3.0,4.0,4.2,4.0,4.0,4.0,4.0,4.0,4.27,4.0,4.89,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.88,6.0,6.0,6.18,6.0,6.0,6.0,6.4,6.11,6.0,6.39,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,6.87,7.0,8.0,8.0,7.36,8.02,7.99,8.0,8.0,8.0,8.0,8.5,9.52,9.62,8.84,9.12,9.0,8.61,9.0,4.0,9.09,9.0,9.73,10.0,6.0,10.0,9.33,10.0,10.0,10.0,10.0,9.1
8,8.0,2.3,1.0,1.0,2.06,1.0,1.81,1.73,1.0,1.0,1.0,10.0,2.0,5.0,2.1,2.39,2.0,2.0,2.17,2.0,2.0,4.22,3.0,4.07,4.05,3.54,3.0,3.0,9.0,3.0,3.0,4.58,4.0,4.0,4.0,4.31,3.69,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.18,5.0,5.0,5.69,5.0,5.74,5.0,6.0,6.0,6.17,6.0,6.0,6.0,6.0,6.0,6.0,9.0,7.36,7.0,7.0,7.0,7.37,7.0,7.69,7.51,7.0,7.49,8.6,8.05,8.0,8.0,1.0,8.0,8.51,8.04,7.21,8.0,3.0,9.39,9.0,9.0,9.0,9.0,9.61,9.0,9.63,9.0,9.78,9.08,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.74
9,9.0,1.0,1.0,2.84,1.0,2.22,1.0,1.72,1.0,1.0,6.0,2.1,2.0,2.0,2.0,10.0,2.0,2.14,2.0,2.0,2.14,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0,4.0,4.0,4.16,4.0,8.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.23,5.63,8.0,4.98,4.61,5.63,5.96,6.0,9.0,6.0,6.0,6.06,6.0,6.0,6.0,5.49,6.0,7.0,7.0,7.0,7.0,7.29,7.0,7.0,7.47,7.0,7.0,8.0,8.0,2.0,8.0,8.0,1.0,8.45,8.0,8.0,8.0,9.51,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,8.56,9.68,10.0,9.87,10.0,5.0,10.0,10.0,9.89,10.0,10.0
10,10.0,1.0,1.0,1.0,1.0,1.0,1.95,1.16,1.0,1.0,1.08,6.0,2.0,2.0,2.0,2.29,2.0,2.16,2.0,2.99,2.23,3.0,3.0,3.0,3.0,3.36,3.0,3.0,3.0,3.47,3.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.46,5.36,5.0,1.0,5.65,5.0,5.34,5.0,1.0,5.0,6.0,6.0,1.0,5.33,6.0,6.0,6.0,6.0,6.0,6.0,7.34,7.0,7.69,7.0,7.0,6.69,7.63,7.0,7.0,7.0,8.0,8.47,7.95,7.38,8.0,8.0,8.0,7.23,7.13,8.42,9.0,9.0,9.0,9.08,8.08,9.0,8.95,9.0,9.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,7.0,10.0,10.0,9.1
11,11.0,1.0,1.87,8.0,1.49,1.0,1.0,2.04,1.0,1.0,1.0,2.0,2.13,10.0,2.0,2.0,2.0,2.0,2.39,2.0,2.17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.42,3.0,3.55,7.0,10.0,4.0,4.0,10.0,3.91,4.0,4.0,4.0,4.55,5.0,5.0,5.32,5.35,5.0,5.0,5.31,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.31,6.0,3.0,6.0,7.0,7.37,7.69,7.1,7.35,7.0,7.0,7.48,7.0,7.0,8.0,8.0,8.0,8.0,7.93,8.0,8.0,8.0,7.12,8.0,9.38,9.61,9.0,9.0,9.0,1.0,9.0,9.0,9.19,9.0,10.0,9.47,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
12,12.0,1.0,2.3,1.0,6.0,1.53,1.76,1.47,1.63,1.13,1.0,2.0,2.04,2.46,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,9.0,3.89,3.0,3.0,3.0,3.28,9.0,3.0,4.0,4.0,4.18,4.7,4.0,4.03,4.26,4.0,4.0,4.89,4.91,5.0,5.0,5.0,5.0,5.0,5.0,4.61,5.63,5.0,6.0,5.76,6.0,2.0,6.0,6.35,6.0,6.1,6.0,6.0,7.0,7.0,7.0,6.94,7.0,7.0,7.0,7.0,6.93,7.44,8.59,8.0,8.0,7.81,8.49,8.0,8.0,8.0,8.0,8.55,9.0,9.52,8.83,9.12,9.0,9.0,9.05,9.0,9.0,9.0,10.0,9.45,9.85,10.0,7.0,10.0,10.0,10.0,10.0,9.1
13,13.0,1.0,1.0,2.51,9.0,1.86,1.0,2.66,6.0,1.0,9.0,2.19,2.15,2.47,8.0,2.0,2.0,2.17,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.98,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.25,3.98,4.0,4.25,4.0,4.0,5.4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.82,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.36,6.0,7.38,6.97,7.0,7.0,7.0,7.0,7.0,7.44,7.49,7.0,8.0,8.0,8.0,8.03,8.0,7.9,8.5,4.0,8.0,8.0,9.0,9.52,8.83,9.12,8.87,9.0,9.0,9.0,9.0,3.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0
