,Unnamed: 0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9
0,0.0,1.0,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,,2.0,,7.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,3.0,4.0,7.0,1.0,,,5.0,5.0,,3.0,,5.0,6.0,5.0,5.0,5.0,8.0,9.0,6.0,6.0,,6.0,6.0,,,,,6.0,7.0,6.0,7.0,,7.0,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,3.0,9.0,9.0,9.0,1.0,9.0,,9.0,9.0,9.0,6.0,10.0,8.0,6.0,10.0,10.0,,10.0,10.0,10.0,10.0
1,1.0,1.0,,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,2.0,,2.0,2.0,8.0,2.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,9.0,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,5.0,6.0,7.0,6.0,,6.0,,6.0,,6.0,6.0,,7.0,7.0,,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,8.0,8.0,5.0,8.0,8.0,,8.0,9.0,9.0,,4.0,9.0,,5.0,,9.0,9.0,10.0,,,10.0,5.0,,,10.0,,10.0
2,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,2.0,8.0,3.0,,3.0,1.0,6.0,3.0,,2.0,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,7.0,5.0,5.0,5.0,5.0,2.0,,5.0,5.0,,6.0,,,6.0,4.0,6.0,6.0,6.0,7.0,7.0,5.0,7.0,4.0,7.0,7.0,,7.0,7.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,3.0,9.0,3.0,9.0,9.0,,7.0,,7.0,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0
3,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,,2.0,,,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,,4.0,4.0,4.0,7.0,4.0,4.0,4.0,,5.0,4.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,3.0,4.0,8.0,8.0,,,,8.0,8.0,8.0,,9.0,9.0,,9.0,9.0,,9.0,9.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0
4,4.0,1.0,,1.0,5.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,6.0,5.0,,5.0,5.0,7.0,5.0,5.0,5.0,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,,8.0,,,8.0,8.0,5.0,8.0,8.0,,9.0,1.0,4.0,9.0,,9.0,3.0,2.0,9.0,10.0,10.0,10.0,10.0,8.0,2.0,10.0,5.0,10.0,10.0
5,5.0,1.0,1.0,,1.0,8.0,1.0,1.0,9.0,2.0,,2.0,2.0,2.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,5.0,9.0,5.0,5.0,5.0,,,5.0,6.0,6.0,,6.0,6.0,1.0,6.0,,,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,8.0,1.0,8.0,8.0,8.0,2.0,8.0,6.0,8.0,8.0,,,7.0,6.0,9.0,4.0,,9.0,9.0,9.0,10.0,10.0,7.0,10.0,,3.0,8.0,10.0,,10.0
6,6.0,9.0,2.0,8.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,7.0,3.0,3.0,,,3.0,,3.0,3.0,4.0,,1.0,4.0,,4.0,4.0,4.0,,4.0,5.0,,6.0,5.0,7.0,5.0,9.0,5.0,5.0,5.0,7.0,6.0,6.0,,,6.0,,,7.0,6.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,2.0,7.0,,8.0,,6.0,8.0,8.0,9.0,8.0,8.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,2.0,,,,5.0,10.0,10.0,10.0,
7,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,,2.0,2.0,2.0,2.0,,,2.0,3.0,6.0,3.0,3.0,,3.0,3.0,,3.0,8.0,,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,6.0,6.0,6.0,,3.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,7.0,5.0,7.0,7.0,,7.0,,7.0,8.0,8.0,8.0,,8.0,,8.0,8.0,9.0,8.0,,9.0,2.0,9.0,9.0,9.0,9.0,8.0,9.0,,10.0,10.0,10.0,,,6.0,10.0,8.0,10.0,10.0
8,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,7.0,,,,3.0,3.0,1.0,3.0,,3.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,4.0,,,5.0,5.0,,5.0,5.0,,5.0,5.0,6.0,8.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,,7.0,6.0,6.0,7.0,4.0,7.0,8.0,8.0,,8.0,1.0,,8.0,8.0,9.0,3.0,9.0,9.0,9.0,9.0,,9.0,,9.0,9.0,9.0,10.0,10.0,,10.0,3.0,10.0,10.0,,10.0,10.0
9,9.0,1.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,8.0,2.0,,2.0,2.0,,3.0,3.0,3.0,2.0,2.0,9.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,6.0,,4.0,4.0,4.0,5.0,7.0,,,,6.0,2.0,5.0,5.0,5.0,,6.0,6.0,6.0,1.0,6.0,,6.0,6.0,2.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,,7.0,7.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,9.0,9.0,9.0,,8.0,9.0,9.0,9.0,9.0,3.0,10.0,10.0,10.0,3.0,10.0,,10.0,10.0,10.0,9.0
10,10.0,1.0,,,,1.0,,,,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,,4.0,7.0,5.0,5.0,5.0,7.0,5.0,,5.0,,5.0,5.0,6.0,6.0,6.0,5.0,,1.0,6.0,6.0,6.0,,,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,,3.0,8.0,8.0,8.0,8.0,8.0,,9.0,,9.0,9.0,9.0,9.0,1.0,1.0,9.0,9.0,6.0,10.0,10.0,4.0,,6.0,9.0,10.0,10.0,10.0
